year,id,title,org,keyword,field
96,1484513,臺東地區農業氣象觀測與資源規劃應用,農委會台東區農業改良場斑鳩分場,氣象；觀測；焚風；番荔枝；,農業環境保護
96,1484660,臺東區農村婦女在農業經營貢獻度之研究,農委會台東區農業改良場農業推廣課,副業；農村婦女；農業；,農業推廣
96,1484705,台東地區農業機械之研究與開發,農委會台東區農業改良場作物環境課,番荔枝；分級機；鳳梨釋迦；加工機械；洛神花；去子機；,農業機械
96,1483028,台東區水稻良質米育種及生產技術改進,農委會台東區農業改良場作物改良課,水稻；育種；稻熱病；耐旱性；,農藝
96,1484519,建構臺東地區主要農產品安全管理資訊體系,農委會台東區農業改良場作物環境課,農產品履歷管理資訊系統；土壤資料庫；農業環境專家系統；,農業推廣
96,1484534,臺東區休閒農業資源與經營管理策略之研究,農委會台東區農業改良場農業推廣課,休閒農業；縱谷區資源；經營策略；,農業推廣
96,1491956,台東地區無所不在的科學推廣計畫,國立臺東大學資訊管理學系,無所不在的科學(Ubiquitous Science;  U-Science);  科學教育;  城鄉落差,科學教育
96,1562154,台東蘇鐵生殖生物學與物候學之研究,農委會林業試驗所育林組,台東蘇鐵；生殖生物學；物候學；,林業
96,1526961,補助人文及社會科學研究圖書計畫規劃主題---南島民族的社會與文化( I ),國立臺東大學南島文化研究所,南島民族;  藝術;  文化展演;  圖書研究資源;  台東大學,人類學
96,1562356,台東蘇鐵族群遺傳結構之評估,農委會林業試驗所森林生物組,台東蘇鐵；遺傳結構；保育；,自然生態保育
96,1562782,台東蘇鐵花粉和種子的儲藏發芽與苗木培育,農委會林業試驗所育林組,台東蘇鐵；種子儲藏；種子發芽；花粉儲藏,林業
96,1644540,區塊研究-台東縣阿美族分布地區國小原住民科學教材發展之合作行動研究---以卑南阿美， 恆春阿美， 海岸阿美地區為例,國立臺東大學教育學系(所),原住民科學教育；阿美族；原住民教育；多元文化教育；學校本位課程發展；行動研究；鄉土教材,科學教育
96,1637964,國家施為與文化再構---台東布農族聚落的比較研究,國立臺東大學區域政策與發展研究所,布農族；國家施為；文化再構,政治學
96,1828495,台東客家族群傳說故事研究,個人,台東客家；傳說故事；；；；；；,社會學
97,1592618,區塊研究---台東縣阿美族分布地區國小原住民科學教材發展之合作行動研究--以卑南阿美， 恆春阿美， 海岸阿美地區為例,國立臺東大學教育學系(所),原住民科學教育；阿美族；原住民教育；多元文化教育；學校本位課程發展；行動研究；鄉土教材,科學教育
97,1629051,台東蘇鐵之復育研究(I),農委會林業試驗所育林組,,林業
97,1624741,建構作物優質生產的知識整合平台---水稻栽培管理知識庫(臺東場),行政院農業委員會台東區農業改良場,,農藝
97,1628692,建構臺東地區主要農產品安全管理資訊體系,農委會台東區農業改良場作物環境課,,農業推廣
97,1625605,台東地區農業機械之研究與開發,農委會台東區農業改良場作物環境課,,農業機械
97,1627439,臺東地區農業氣象觀測與資源規劃應用,農委會台東區農業改良場斑鳩分場,,農業環境保護
97,1624958,台東區水稻良質米育種及生產技術改進,農委會台東區農業改良場作物改良課,,農藝
97,1626518,不同綠肥作物對於臺東良質米區土壤及水稻產量的影響,農委會台東區農業改良場作物環境課,,農業化學
97,1627446,臺東區農產品產銷履歷制度推廣策略之研究,農委會台東區農業改良場農業推廣課,,農業推廣
97,1627455,臺東區休閒農業經營管理策略之研究,農委會台東區農業改良場農業推廣課,,農業推廣
97,1628752,臺東區農村婦女終身學習之研究~終身學習指標系統之建立,農委會台東區農業改良場農業推廣課,,農業推廣
97,1627374,台東地區景觀及休耕作物疫病蟲害發生調查,農委會台東區農業改良場作物環境課,,植物保護
97,1625614,定址養分管理於臺東地區番荔枝及良質米之應用,農委會台東區農業改良場作物環境課,,農業化學
97,1650990,台東漆樹果實、台東漆樹樹葉及台東漆樹根部抗癌活性成份之研究,國立臺東大學生命科學研究所,,藥學
97,1669145,模糊價值拓展、預測及動態模型之整合應用研究---以台東地區樂活產業為例,國立臺東大學資訊管理學系,樂活；價值拓展；價值預測；系統動態,管理科學
97,1669052,大地與結構監測資料之分析模擬及其在設計規範之應用---子計畫：建築物之參數識別與損壞評估(II),國立成功大學土木工程學系（所）,建築物在強震作用下；同一樓層每個柱或牆的損傷程度或側向勁度下跌比例並不相同；造成各樓板剛心或多或少的偏移；此時若以平面對稱屋架進行樓層參數識別；由於樓板偏心距的影響；無法準確評估樓層側向勁度的變化；本計畫將採用扭轉耦合剪力屋架模式；考慮兩水平移動和一垂直轉動的基底振動；輸出反應為各樓層的水平加速度紀錄；以線性和非線性雙迴圈迴歸分析技巧；在時間域分段直接識別樓層參數；其中樓層側向勁度的變化可診斷損壞樓層和程度；樓板偏心距的變化可診斷損壞樓層；程度和相對位置；由於大部份建築物僅具部份量測資料；將改以量測樓層的加速度反應進行降低自由度的等效系統相關樓層參數識別；本計畫首先用模擬系統探討各種樓層參數之識別精度；再以中興土木環工大樓和台東消防局的強震監測資料庫；進行樓層側向勁度和樓板偏心距變化與損壞樓層；程度和相對位置的比對；建立選取參數健康基準值和刻劃損壞指標值的相關程序；以供後續建築物損壞評估之應用或參考；,土木水利工程
97,1674228,台灣地震中心TEC---台灣板塊邊界觀測---台東地區之潛移觀測研究(III),中央研究院地球科學研究所,全球定位系統；滑移；變形監測；雷射干涉,地球科學
97,1677239,動手做科學之互動式多媒體數位教材研發與實施成效之研究---以台東縣偏遠和離島地區為例,國立臺東大學教育學系(所),動手做科學；互動式多媒體；數位學習表C011,科學教育
97,1675175,弱勢低成就兒童基礎學力之提昇--- 現象的了解與介入的嘗試-偏遠弱勢地區學力測驗表現優良之班級教師的語文教學--- 以台東縣為例,國立臺東大學教育學系(所),弱勢；學業成就；語文教學；有效教學；台東,教育學
97,1684508,台東地區科普傳播人才之科普廣播節目製作培訓班,國立臺東大學教育學系(所),動手做科學；互動式多媒體；數位學習,科學教育
97,1699528,蘭陽溪、花蓮溪、秀姑巒溪流域、卑南溪及宜蘭縣、花蓮縣與台東縣淹水潛勢圖更新計畫,國立台灣大學水工試驗所,資料調查；淹水潛勢；雨量預警；；；；；,防災工程
97,1706612,飼料玉米於臺東地區之產量評估,農委會台東區農業改良場作物改良課,,農藝
97,1719328,台東地區無所不在的科學在地化之推廣計畫,國立臺東大學資訊管理學系,無所不在科學（Ubiquitous Science）；生活中科技；城鄉落差,科學教育
97,1719887,台東地區衛星、太空與天文科學的科學普及推展（科普活動計畫）,國立臺東大學應用科學系,衛星計畫；太空科學；天文科學,科學教育
97,1829211,台東縣成功鎮客家家族記事,個人,成功鎮；客家家族；；；；；；,社會學
97,1827029,台東蘇鐵保育實施方案,台灣師範大學生命科學系,,"自然生態保育,園藝"
97,1948247,東部海岸國家風景區範圍擴大延伸至台東縣南迴地區之可行性研究,太乙工程顧問公司,國家風景區；範圍擴大；可行性研究；；；；；,"自然生態保育,管理科學,財政（含金融，保險）,公共行政,其他（社會）"
98,1733167,利用光合作用電子傳遞蛋白質Ferredoxin改善作物對高溫逆境之耐受能力,國立臺東大學生命科學研究所,耐熱性thermotolerance；光合作用相關硫鐵蛋白質(ferredoxin)；過氧化物(reactive_x000d_oxygen species； ROS)；植物基因轉殖(transgenic plant) ；焚風(foehn)台東(Taitung)；,植物保護
98,1817577,花東海盆海底地殼特性研究,國立中央大學地球物理研究所,花東海盆； 台東峽谷； 右移斷層； 海底地震儀,地球科學
98,1817582,花東海盆海底地殼特性研究,國立中央大學地球物理研究所,花東海盆； 台東峽谷； 右移斷層； 海底地震儀,地球科學
98,1787299,台東青少年頭痛研究(V),臺北榮民總醫院神經醫學中心神經內科,青少年；頭痛；出力性頭痛,"臨床醫學,公共衛生學"
98,1824013,花蓮與台東都會區地下地質與工程環境調查研究,經濟部中央地質調查所{環境與工程地質組},地下地質；工程地質；地質災害；；；；；,"地球科學,土木水利工程"
98,1855561,臺東區農村婦女終身學習之研究---影響終身學習因素之探討,農委會台東區農業改良場農業推廣課,終身學習；農村婦女；因素,農業推廣
98,1855587,臺東地區主要作物不同肥培管理模式之研究,農委會台東區農業改良場作物環境課,有機質肥料；番荔枝；香椿,"農業化學,農業環境保護"
98,1854565,臺東區農產品產銷履歷制度推廣策略之研究,農委會台東區農業改良場農業推廣課,產銷履歷制；推廣策略；農產品,"農業推廣,農產運銷"
98,1854731,臺東地區優質及抗(耐)逆境水稻品種改良,農委會台東區農業改良場作物改良課,水稻；育種；稻熱病,農藝
98,1850886,臺東縣休閒農業區營運發展之研究,農委會台東區農業改良場農業推廣課,休閒農業區；營運；發展,"農業經濟,農業推廣"
98,1850965,臺東藥用蕨類栽培技術之研究,農委會台東區農業改良場作物改良課,栽培；繁殖；蕨類,"農藝,藥學"
98,1848743,良質米研究團隊---台東地區水稻合理化施肥技術之研究與利用,農委會台東區農業改良場作物改良課,水稻；合理化施肥；品質,"農藝,農業化學"
