year,author,title,school,dept,degree,advisor,url
107,郭郎,台東玉石雕刻創作之研究,國立臺東大學,進修部美術產業發展碩專(夜間班),碩士,林永發,https://hdl.handle.net/11296/5f5zey
107,高曼萍,臺東縣績優國中管樂團指導教師教學信念與教學實踐之個案研究,國立臺東大學,音樂學系碩士班,碩士,何育真,https://hdl.handle.net/11296/5z9e69
107,張長右,尼伯特颱風災後臺東縣中小學復建經費補助運作歷程研究,國立臺東大學,進修部教育行政碩士班(夜間),碩士,王和源、何春玲,https://hdl.handle.net/11296/4yfj3j
107,黃暄喻,LINE貼圖設計創作研究－－以臺東縣國中教師行政用語為主,國立臺東大學,進修部美術產業發展碩專(夜間班),碩士,施能木,https://hdl.handle.net/11296/32ym36
107,馮震鈞,水利工程對台東地區達魯瑪克部落國利嘉溪魚蝦類生態影響之研究,國立臺東大學,生命科學系碩士班,碩士,劉?錫,https://hdl.handle.net/11296/j3h2sf
107,羅靜淵,臺東市老人長期照顧政策執行問題分析~服務提供單位之觀點檢證,國立臺東大學,公共與文化事務學系,碩士,劉麗娟,https://hdl.handle.net/11296/52h6d9
109,林靖揚,原住民族地區民宿建築物結構安全鑑定之研究-以臺東縣蘭嶼鄉為例,建國科技大學,土木工程系暨土木防災研究所,碩士,儲慶美,https://hdl.handle.net/11296/d4usp6
109,張哲瑋,警察機關及移民機關查察非法外籍勞工作為之研究-以臺東縣為例,中央警察大學,國境警察學系碩士班,碩士,王寬弘,https://hdl.handle.net/11296/7gkyc8
109,孫秀良,臺灣圖案石美學意涵之探究—以臺東海岸南田圖案石為例,崇右影藝科技大學,文化創意設計研究所,碩士,"舒宗浩
張敏捷",https://hdl.handle.net/11296/8hcq2c
109,高鵬翔,臺灣省立臺東高級農工職業學校 棒球隊發展之研究（1947~2013）,國立臺東大學,進修部暑期體育碩士班,碩士,范春源,https://hdl.handle.net/11296/fwr234
109,吳昀龍,認真休閒、流暢體驗與地方依附之研究 -以國立台東專科學校籃球場為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,碩士,江昱仁,https://hdl.handle.net/11296/3kcf8g
109,許硯筑,可記憶的旅遊體驗、地方依附、重遊意願之研究-以台東新東糖廠為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,碩士,江昱仁,https://hdl.handle.net/11296/xeamu9
109,黃翠屏,特色學校的特色課程發展之研究 — 以臺東雷公國小為例,國立臺東大學,進修部暑期學校行政碩士班,碩士,鄭燿男,https://hdl.handle.net/11296/xx4r53
109,張予宣,自我形象一致性、文化創意商品特性、購買情境對購買意願影響之研究-以臺東鐵花村文創手作市集為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,碩士,江昱仁、鄭肇祺,https://hdl.handle.net/11296/q9a2r2
109,邱怡君,臺東縣國小導師知覺初級發展性輔導工作之重要程度與符合程度研究,國立臺東大學,進修部暑期課程與教學碩專班,碩士,何俊青,https://hdl.handle.net/11296/v6mev8
109,林昌憲,吸引力、體驗與重遊意願之研究-以臺東小野柳風景區露營區為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,碩士,江昱仁,https://hdl.handle.net/11296/26bq9c
109,陳載福,台灣環境影響評估制度下司法救濟議題之研究—以臺東美麗灣開發環評案為例,法鼓文理學院,環境與發展碩士學位學程,碩士,張長義,https://hdl.handle.net/11296/tkhr99
109,方薪媛,普通班導師輔導情緒行為障礙學生之經驗 -以臺東縣偏遠地區小校為例,國立臺中教育大學,區域與社會發展學系國民小學教師在職進修教學碩士學位班,碩士,李麗日,https://hdl.handle.net/11296/837k43
109,黃文祥,原住民族部落劃設國土功能分區之研究-以臺東縣延平鄉為例,建國科技大學,土木工程系暨土木防災研究所,碩士,王珮茹,https://hdl.handle.net/11296/xgwa4k
109,江季蓁,台東民宿經營關鍵因素之研究,正修科技大學,經營管理研究所,碩士,林坤霖,https://hdl.handle.net/11296/43q472
109,王幸媚,基督教父母的宗教信仰行為、親職效能與青春期子女的親子關係之研究 -以臺東縣為例,輔仁大學,兒童與家庭學系碩士班,碩士,陳若琳,https://hdl.handle.net/11296/fqh868
109,高國雄,原住民族喜宴辦桌菜技術報告 –以臺東縣為例,臺灣觀光學院,觀光與餐旅管理研究所,碩士,"吳玉珍
張凱智",https://hdl.handle.net/11296/hw669h
109,吳莉娟,雲林縣林內焚化廠重新啟用問題之探討 —以臺東焚化廠重啟為借鏡,逢甲大學,建設碩士在職學位學程,碩士,楊賀雯,https://hdl.handle.net/11296/n2u6bt
109,常馨,臺東縣發展遲緩學童幼小轉銜學習適應之研究,國立臺東大學,進修部暑期特教碩士班,碩士,吳勝儒、吳勝儒,https://hdl.handle.net/11296/tuzp7z
109,杜立方,幼兒聲韻覺識、詞素覺識、語法能力 與口語理解之關係研究---以臺東地區 幼兒園為初探,國立臺東大學,幼兒教育學系碩士班,碩士,簡馨瑩,https://hdl.handle.net/11296/29vkgs
