file_year,title,school,dept,author,url
102,台東太麻里溪集水區地景變遷之研究,國立臺灣師範大學,地理學系,葉春國,https://hdl.handle.net/11296/xewx92
102,臺東鸞山地區臺灣穿山甲（Manis pentadactyla pentadactyla） 腸道寄生蟲相調查,國立屏東科技大學,野生動物保育研究所,呂亞紋,https://hdl.handle.net/11296/35eg74
102,區域性水土資源保育規劃之研究 -以臺東縣達仁鄉為例 -,國立屏東科技大學,水土保持系所,潘柏宏,https://hdl.handle.net/11296/a6xvr8
102,環境因子影響臺東縣達仁林場木質藤本社會多樣性與結構之研究,國立屏東科技大學,森林系所,李冠緯,https://hdl.handle.net/11296/w3wrw9
102,臺東縣達仁林場筆筒樹健康監測與保育,國立屏東科技大學,森林系所,何芫薇,https://hdl.handle.net/11296/xhtkfa
102,利用微衛星基因座變異探討臺東鸞山地區臺灣穿山甲（Manis pentadactyla pentadactyla）之親屬關係與社會結構,國立屏東科技大學,野生動物保育研究所,張淑萍,https://hdl.handle.net/11296/vy8myq
102,臺東蘇鐵自然保留區蘇鐵白輪盾介殼蟲族群動態與兩種天敵出尾蟲之發生與食餌範圍測試,國立屏東科技大學,熱帶農業暨國際合作系,宋欣穎,https://hdl.handle.net/11296/czb9sd
102,節慶活動與地方行銷策略之研究-以「台東臺灣國際熱氣球嘉年華」為例,佛光大學,政治學系,張燕琴,https://hdl.handle.net/11296/a3hjv3
102,棲，夢巢－以台東美術館大樟樹為築夢起點,國立臺南藝術大學,建築藝術研究所,游雯嵐,https://hdl.handle.net/11296/j9d33x
102,臺東縣柔道運動發展之歷史考察（1958-2011）,國立臺東大學,體育學系碩士班,陳慧欣,https://hdl.handle.net/11296/3484r8
102,台東地區荖葉伺機性感染土棲細菌分離鑑定與防治策略開發,國立臺東大學,生命科學系碩士班,林俊成,https://hdl.handle.net/11296/h344jv
102,首因與近因效應在負面電子口碑對手機產品消費者之影響-以國立臺東大學資管系學生為例,國立臺東大學,資訊管理學系碩士班,謝昇達,https://hdl.handle.net/11296/h3j3v9
102,台東縣東河鄉羊橋溪水土保持工程對魚、蝦、蟹生物多樣性影響之研究,國立臺東大學,生命科學系碩士班,蔡明剛,https://hdl.handle.net/11296/8s2rc4
102,臺東縣國中教師對十二年國民基本教育政策看法與態度之個案研究,國立臺東大學,教育學系(所),陳怡妘,https://hdl.handle.net/11296/95tfby
